Position,Const,Created,Modified,Description,Title,URL,Title Type,Rating,Runtime,Year,Genres,Votes,ReleaseDate,Directors
28,tt0057012,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 0",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.5,95,1964,"Comedy, War",383761,1/29/1964,Stanley Kubrick
29,tt0053291,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 3",Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.3,121,1959,"Comedy, Romance",198918,3/19/1959,Billy Wilder
30,tt0052618,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 11
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 4",Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",183357,11/18/1959,William Wyler
31,tt0078788,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 3
Golden Globe Nominations: 4",Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.5,147,1979,"Drama, War",503931,5/19/1979,Francis Ford Coppola
32,tt0086879,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 8
Oscar Nominations: 11
BAFTA Awards: 4
BAFTA Nominations: 9
Golden Globes: 4
Golden Globe Nominations: 6",Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",307750,9/6/1984,Milos Forman
33,tt0167260,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 11
Oscar Nominations: 11
BAFTA Awards: 4
BAFTA Nominations: 10
Golden Globes: 4
Golden Globe Nominations: 4",The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1368561,12/1/2003,Peter Jackson
34,tt0172495,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 4.7 Stars
Screenplay: 4.7 Stars

Oscars: 5
Oscar Nominations: 12
BAFTA Awards: 4
BAFTA Nominations: 12
Golden Globes: 2
Golden Globe Nominations: 5",Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1110797,5/1/2000,Ridley Scott
35,tt0120338,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 4.5 Stars

Oscars: 11
Oscar Nominations: 14
BAFTA Awards: 0
BAFTA Nominations: 8
Golden Globes: 4
Golden Globe Nominations: 8",Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",882885,11/1/1997,James Cameron
36,tt0045793,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.8 Stars

Oscars: 8
Oscar Nominations: 13
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 2",From Here to Eternity,https://www.imdb.com/title/tt0045793/,movie,7.7,118,1953,"Drama, Romance, War",37068,8/5/1953,Fred Zinnemann
37,tt0120815,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 5
Oscar Nominations: 11
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 2
Golden Globe Nominations: 5",Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1009070,7/21/1998,Steven Spielberg
38,tt0105695,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 9
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 2
Golden Globe Nominations: 4",Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",312501,8/3/1992,Clint Eastwood
39,tt0082971,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 4
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 1",Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.5,115,1981,"Action, Adventure",743264,6/12/1981,Steven Spielberg
40,tt0075148,12/21/2012,3/28/2017,"Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.6 Stars

Oscars: 3
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 6",Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",431183,11/20/1976,John G. Avildsen
41,tt0044081,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3",A Streetcar Named Desire,https://www.imdb.com/title/tt0044081/,movie,8,122,1951,Drama,85811,9/9/1951,Elia Kazan
42,tt0032904,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,8,112,1940,"Comedy, Romance",54808,12/5/1940,George Cukor
43,tt0056592,2/5/2013,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 3
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 5",To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",247042,12/25/1962,Robert Mulligan
44,tt0043278,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.9 Stars

Oscars: 6
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3",An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",25073,8/26/1951,Vincente Minnelli
45,tt0036868,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 7
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 1",The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.1,170,1946,"Drama, Romance, War",45887,11/21/1946,William Wyler
46,tt0058385,12/24/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 8
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 5",My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.9,170,1964,"Drama, Family, Musical, Romance",74370,10/21/1964,George Cukor
47,tt0066921,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 7
Golden Globes: 0
Golden Globe Nominations: 3",A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",632254,12/19/1971,Stanley Kubrick
48,tt0059113,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 5
Golden Globe Nominations: 6",Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,8,197,1965,"Drama, Romance, War",60690,12/22/1965,David Lean
49,tt0049730,1/21/2017,3/28/2017,"*****
Actors: 4.9 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Award Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",The Searchers,https://www.imdb.com/title/tt0049730/,movie,8,119,1956,"Adventure, Drama, Western",68583,5/16/1956,John Ford
50,tt0073195,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 3
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 4",Jaws,https://www.imdb.com/title/tt0073195/,movie,8,124,1975,"Adventure, Drama, Thriller",468210,6/20/1975,Steven Spielberg
51,tt0066206,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 7
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3",Patton,https://www.imdb.com/title/tt0066206/,movie,8,172,1970,"Biography, Drama, War",83418,2/4/1970,Franklin J. Schaffner
52,tt0064115,12/21/2012,3/28/2017,"*****
Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 4
Oscar Nominations: 7
BAFTA Awards: 8
BAFTA Nominations: 9
Golden Globes: 1
Golden Globe Nominations: 4",Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.1,110,1969,"Biography, Crime, Drama, Western",170893,9/23/1969,George Roy Hill
53,tt0040897,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 3
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 3",The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.3,126,1948,"Adventure, Drama, Western",90201,1/15/1948,John Huston
54,tt0060196,10/8/2013,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Award Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.9,161,1966,Western,567001,12/23/1966,Sergio Leone
55,tt0053604,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 10
BAFTA Awards: 3
BAFTA Nominations: 3
Golden Globes: 3
Golden Globe Nominations: 4",The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",126532,6/15/1960,Billy Wilder
56,tt0091763,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 4
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 3
Golden Globes: 3
Golden Globe Nominations: 4",Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",325282,12/19/1986,Oliver Stone
57,tt0044706,12/21/2012,3/28/2017,"*****
Actors: 4.6 Stars
Direction: 4.7 Stars
Screenplay: 4.7 Stars

Oscars: 4
Oscar Nominations: 7
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 4
Golden Globe Nominations: 7",High Noon,https://www.imdb.com/title/tt0044706/,movie,8,85,1952,"Action, Drama, Thriller, Western",85878,5/1/1952,Fred Zinnemann
58,tt0112573,12/23/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 5
Oscar Nominations: 10
BAFTA Awards: 3
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 4",Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.4,178,1995,"Biography, Drama, History, War",828950,5/18/1995,Mel Gibson
59,tt0099348,12/21/2012,3/28/2017,"*****
Actors: 4.5 Stars
Direction: 4.8 Stars
Screenplay: 4.6 Stars

Oscars: 7
Oscar Nominations: 12
BAFTA Awards: 0
BAFTA Nominations: 9
Golden Globes: 3
Golden Globe Nominations: 6",Dances with Wolves,https://www.imdb.com/title/tt0099348/,movie,8,181,1990,"Adventure, Drama, Western",205983,10/19/1990,Kevin Costner
60,tt0107290,7/14/2016,3/28/2017,"Actors: 4.6 Stars
Direction: 4.9 Stars
Screenplay: 4.7 Stars

Oscars: 3
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0",Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Adventure, Sci-Fi, Thriller",707012,6/9/1993,Steven Spielberg
61,tt0070047,5/4/2013,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 2
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 4
Golden Globe Nominations: 7",The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8,122,1973,Horror,310502,12/26/1973,William Friedkin
62,tt0253474,12/21/2012,3/28/2017,"*****
Actors: 4.9 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 3
Oscar Nominations: 7
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 0
Golden Globe Nominations: 2",The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",577372,5/24/2002,Roman Polanski
63,tt0099685,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 5
BAFTA Nominations: 7
Golden Globes: 0
Golden Globe Nominations: 5",Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",825567,9/9/1990,Martin Scorsese
64,tt0077416,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 4.8 Stars
Screenplay: 4.9 Stars

Oscars: 5
Oscar Nominations: 9
BAFTA Awards: 2
BAFTA Nominations: 9
Golden Globes: 1
Golden Globe Nominations: 6",The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.2,183,1978,"Drama, War",261292,12/8/1978,Michael Cimino
65,tt0020629,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 4.7 Stars

Oscars: 2
Oscar Nominations: 4
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,movie,8.1,136,1930,"Drama, War",50670,4/21/1930,Lewis Milestone
66,tt0061418,4/19/2015,3/28/2017,"Actors: 4.8 Stars
Direction: 4.7 Stars
Screenplay: 4.8 Stars

Oscars: 2
Oscar Nominations: 10
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 0
Golden Globe Nominations: 7",Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,movie,7.9,111,1967,"Action, Biography, Crime, Drama",88138,8/4/1967,Arthur Penn
67,tt0067116,12/21/2012,3/28/2017,"*****
Actors: 4.9 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 5
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 5
Golden Globes: 3
Golden Globe Nominations: 4",The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.8,104,1971,"Action, Crime, Drama, Thriller",92253,10/7/1971,William Friedkin
68,tt0021749,9/11/2013,3/28/2017,"*****
Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",City Lights,https://www.imdb.com/title/tt0021749/,movie,8.6,87,1931,"Comedy, Drama, Romance",128020,1/30/1931,Charles Chaplin
69,tt0025316,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 5
Oscar Nominations: 5
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",It Happened One Night,https://www.imdb.com/title/tt0025316/,movie,8.1,105,1934,"Comedy, Romance",74626,2/22/1934,Frank Capra
70,tt0043924,12/21/2012,3/28/2017,"*****
Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 6
Oscar Nominations: 9
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 4",A Place in the Sun,https://www.imdb.com/title/tt0043924/,movie,7.8,122,1951,"Drama, Romance",16717,4/5/1951,George Stevens
71,tt0064665,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 4.7 Stars
Screenplay: 4.9 Stars

Oscars: 3
Oscar Nominations: 7
BAFTA Awards: 6
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 7",Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.9,113,1969,Drama,84217,5/25/1969,John Schlesinger
72,tt0031679,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 11
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,movie,8.2,129,1939,"Comedy, Drama",87098,10/17/1939,Frank Capra
73,tt0095953,12/23/2012,3/28/2017,"Actors: 5 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 4
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 2
Golden Globe Nominations: 4",Rain Man,https://www.imdb.com/title/tt0095953/,movie,8,133,1988,Drama,416825,12/12/1988,Barry Levinson
74,tt0075686,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 5
BAFTA Awards: 5
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 5",Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.1,93,1977,"Comedy, Romance",220316,3/27/1977,Woody Allen
75,tt0116282,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 4",Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Drama, Thriller",515756,3/8/1996,"Ethan Coen, Joel Coen"
76,tt0049261,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 4.7 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 1",Giant,https://www.imdb.com/title/tt0049261/,movie,7.7,201,1956,"Drama, Western",28967,10/10/1956,George Stevens
77,tt0046303,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0",Shane,https://www.imdb.com/title/tt0046303/,movie,7.7,118,1953,"Drama, Western",31225,4/23/1953,George Stevens
78,tt0032551,12/21/2012,3/28/2017,"Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,movie,8.1,129,1940,"Drama, History",71637,1/24/1940,John Ford
79,tt0120689,6/2/2014,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 1",The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.5,189,1999,"Crime, Drama, Fantasy, Mystery",909966,12/6/1999,Frank Darabont
80,tt0075860,5/18/2014,3/28/2017,"Actors: 4.6 Stars
Direction: 4.9 Stars
Screenplay: 4.7 Stars

Oscars: 1
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 8",Close Encounters of the Third Kind,https://www.imdb.com/title/tt0075860/,movie,7.7,138,1977,"Drama, Sci-Fi",156199,11/15/1977,Steven Spielberg
