Position,Const,Created,Modified,Description,Title,URL,Title Type,Rating,Runtime,Year,Genres,Votes,ReleaseDate,Directors
81,tt0073440,4/6/2013,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 11",Nashville,https://www.imdb.com/title/tt0073440/,movie,7.8,160,1975,"Comedy, Drama, Music",19612,6/11/1975,Robert Altman
82,tt0074958,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 10
BAFTA Awards: 1
BAFTA Nominations: 9
Golden Globes: 4
Golden Globe Nominations: 5",Network,https://www.imdb.com/title/tt0074958/,movie,8.1,121,1976,Drama,117949,11/14/1976,Sidney Lumet
83,tt0061722,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 7
BAFTA Awards: 5
BAFTA Nominations: 7
Golden Globes: 5
Golden Globe Nominations: 7",The Graduate,https://www.imdb.com/title/tt0061722/,movie,8,106,1967,"Comedy, Drama",226664,12/21/1967,Mike Nichols
84,tt0069704,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 4",American Graffiti,https://www.imdb.com/title/tt0069704/,movie,7.5,110,1973,"Comedy, Drama",69871,8/1/1973,George Lucas
85,tt0110912,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 7
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 1
Golden Globe Nominations: 6",Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1497748,5/21/1994,Quentin Tarantino
86,tt0086425,12/23/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 5
Oscar Nominations: 11
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 4
Golden Globe Nominations: 6",Terms of Endearment,https://www.imdb.com/title/tt0086425/,movie,7.4,132,1983,"Comedy, Drama",45414,11/20/1983,James L. Brooks
87,tt0119217,10/29/2013,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 9
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 4",Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,Drama,698367,12/2/1997,Gus Van Sant
88,tt0043265,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 0
Golden Globe Nominations: 0",The African Queen,https://www.imdb.com/title/tt0043265/,movie,7.9,105,1951,"Adventure, Drama, Romance, War",63032,12/26/1951,John Huston
89,tt0031971,12/21/2012,3/28/2017,"Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Stagecoach,https://www.imdb.com/title/tt0031971/,movie,7.9,96,1939,"Adventure, Western",34866,2/10/1939,John Ford
90,tt0026752,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.7 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 8
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Mutiny on the Bounty,https://www.imdb.com/title/tt0026752/,movie,7.8,132,1935,"Adventure, Biography, Drama, History, Romance",17747,11/8/1935,Frank Lloyd
91,tt0032553,11/4/2015,3/28/2017,"Actors: 5 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",The Great Dictator,https://www.imdb.com/title/tt0032553/,movie,8.5,125,1940,"Comedy, Drama, War",160603,10/15/1940,Charles Chaplin
92,tt0036775,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 7
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",112387,7/3/1944,Billy Wilder
93,tt0033870,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.7 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.1,100,1941,"Film-Noir, Mystery",127411,10/3/1941,John Huston
94,tt0032145,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 8
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Wuthering Heights,https://www.imdb.com/title/tt0032145/,movie,7.7,104,1939,"Drama, Romance",13916,3/24/1939,William Wyler
95,tt0075314,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 2
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 2",Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",579743,2/7/1976,Martin Scorsese
96,tt0047396,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 0",Rear Window,https://www.imdb.com/title/tt0047396/,movie,8.5,112,1954,"Mystery, Thriller",360553,8/4/1954,Alfred Hitchcock
97,tt0041959,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0",The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.2,104,1949,"Film-Noir, Mystery, Thriller",129104,9/1/1949,Carol Reed
98,tt0048545,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.7 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0",Rebel Without a Cause,https://www.imdb.com/title/tt0048545/,movie,7.8,111,1955,Drama,70844,10/26/1955,Nicholas Ray
99,tt0053125,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.4,136,1959,"Action, Adventure, Mystery, Thriller",246835,7/1/1959,Alfred Hitchcock
100,tt0035575,4/6/2013,3/28/2017,"Actors: 4.6 Stars
Direction: 4.7 Stars
Screenplay: 4.6 Stars

Oscars: 3
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",Yankee Doodle Dandy,https://www.imdb.com/title/tt0035575/,movie,7.8,126,1942,"Biography, Drama, Musical",12120,5/29/1942,Michael Curtiz
